Latency,Rise-Time,Amplitude,Events,Pleasantness_class
2.98046875,3.01171875,0.1973688361605439,1.0,pleasant
1.88671875,6.46875,0.9118806529445909,2.0,unpleasant
1.69921875,4.515625,0.6186907059768987,-2.0,pleasant
0.80078125,3.4375,0.08303131048343904,0.0,unpleasant
0.0,0.0,0.0,0.0,pleasant
2.50390625,2.38671875,0.04669023662492688,2.0,unpleasant
2.41796875,2.95703125,0.1242318653766474,2.0,unpleasant
2.45703125,4.21875,0.2755085526351984,-1.0,pleasant
2.140625,2.1171875,0.1327880281931879,0.0,pleasant
3.21484375,1.8359375,0.02986677887065547,0.0,unpleasant
1.94140625,2.6875,0.1849737035394623,1.0,pleasant
2.359375,3.0546875,0.08509189531200767,0.0,pleasant
3.16015625,1.953125,0.0220017451643113,-1.0,pleasant
1.8671875,2.90234375,0.2481082581365883,-1.0,unpleasant
2.5390625,1.640625,0.03849184353259205,-1.0,pleasant
1.1953125,3.08984375,0.2292296378402439,1.0,unpleasant
0.0,0.0,0.0,-1.0,unpleasant
3.72265625,0.97265625,0.01093416061702235,0.0,pleasant
1.6875,2.82421875,0.2359376120644892,1.0,pleasant
2.25390625,2.51171875,0.09311842969486928,-1.0,unpleasant
1.44140625,3.51171875,0.153200693644038,1.0,unpleasant
0.078125,2.05859375,0.02362698288587217,2.0,pleasant
2.3984375,1.859375,0.02466093444829731,-1.0,pleasant
1.95703125,1.56640625,0.1141159435184038,-1.0,pleasant
2.4296875,1.82421875,0.05857137367802734,0.0,pleasant
2.58203125,1.6796875,0.0638402040562509,1.0,unpleasant
0.1015625,1.08203125,0.01036641443403075,1.0,pleasant
2.64453125,2.48828125,0.09068941424148913,0.0,unpleasant
1.6875,2.4375,0.1302681460729107,0.0,pleasant
2.83984375,2.23046875,0.1183868069584884,0.0,pleasant
0.97265625,3.03515625,0.1233720845867006,1.0,unpleasant
0.0,0.0,0.0,0.0,pleasant
1.828125,3.0859375,0.2191171107854788,0.0,pleasant
0.59375,3.609375,0.1408253384795504,-1.0,pleasant
3.16015625,2.28125,0.09712992911865537,0.0,unpleasant
2.41796875,3.74609375,0.3067993351860268,-2.0,pleasant
1.546875,3.0390625,0.2390437949421562,-1.0,unpleasant
2.109375,2.40625,0.1129080912682208,0.0,pleasant
2.4140625,3.609375,0.1352271906253062,1.0,pleasant
1.875,3.5390625,0.3332497993834966,-1.0,unpleasant
2.42578125,3.66015625,0.1286629195059843,-1.0,pleasant
1.7890625,2.43359375,0.1078451911795741,0.0,pleasant
2.2265625,2.32421875,0.08501324224449225,3.0,unpleasant
3.3125,2.83984375,0.1042230058479954,-1.0,unpleasant
1.01953125,3.9140625,0.1771758567213535,0.0,pleasant
0.0,0.0,0.0,-1.0,pleasant
3.21484375,4.1328125,0.07440055191584571,-1.0,pleasant
0.3125,4.00390625,0.3042528275175957,0.0,pleasant
1.109375,3.08203125,0.15597138771553,2.0,unpleasant
0.0,0.0,0.0,0.0,unpleasant
2.1015625,2.62109375,0.1855614256557669,1.0,unpleasant
2.16015625,2.0859375,0.2610251583971213,-1.0,unpleasant
2.15234375,3.53125,0.3460406069294333,1.0,unpleasant
2.49609375,3.03515625,0.09905274377018247,2.0,pleasant
2.0,3.55859375,0.2271633610299015,0.0,pleasant
2.17578125,3.3515625,0.2771938098326441,-1.0,unpleasant
0.0,0.0,0.0,1.0,pleasant
2.5078125,2.30859375,0.1034911093592299,2.0,pleasant
2.765625,2.53125,0.1424332529619265,-2.0,unpleasant
0.0,0.0,0.0,-1.0,unpleasant
0.06640625,5.86328125,0.3913580340624434,1.0,unpleasant
0.96484375,2.796875,0.1733260892085449,2.0,pleasant
2.90625,2.875,0.08336423276445881,1.0,unpleasant
0.0,0.0,0.0,0.0,pleasant
2.04296875,2.26953125,0.142545433457276,1.0,pleasant
1.9375,3.77734375,0.5508769862020482,0.0,unpleasant
3.1640625,1.63671875,0.02189040554891752,-2.0,pleasant
0.421875,4.94140625,0.4880822133055664,1.0,unpleasant
2.0625,2.3359375,0.0295414234218454,0.0,pleasant
0.0,0.0,0.0,0.0,unpleasant
2.34375,2.65234375,0.1470226778594557,-2.0,unpleasant
1.9296875,4.4609375,0.1377272618045076,0.0,pleasant
2.265625,3.00390625,0.1388746240916237,1.0,pleasant
2.2109375,2.98046875,0.05597485480835229,1.0,unpleasant
2.1328125,3.89453125,0.1252527032892161,2.0,unpleasant
1.88671875,3.2109375,0.1518200246344794,1.0,unpleasant
2.72265625,2.015625,0.07153014666711588,0.0,pleasant
2.6015625,2.0546875,0.02938831791102459,0.0,unpleasant
2.015625,2.2109375,0.1058808868339098,0.0,pleasant
3.015625,3.12109375,0.1495758112432504,0.0,pleasant
3.14453125,0.87109375,0.01198452261284411,1.0,unpleasant
1.02734375,5.92578125,0.4815474642466082,0.0,pleasant
0.0,0.0,0.0,1.0,unpleasant
0.125,1.8984375,0.04681524922377833,-1.0,unpleasant
2.11328125,3.59765625,0.2271654699310155,-1.0,pleasant
